time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-01-28T00:00Z,242,247,104,103
2023-01-28T00:30Z,243,246,134,136
2023-01-28T01:00Z,243,249,188,191
2023-01-28T01:30Z,242,246,229,236
2023-01-28T02:00Z,240,246,306,314
2023-01-28T02:30Z,242,246,377,362
2023-01-28T03:00Z,241,248,437,431
2023-01-28T03:30Z,240,247,417,413
2023-01-28T04:00Z,242,250,475,492
2023-01-28T04:30Z,238,248,520,509
2023-01-28T05:00Z,241,252,569,589
2023-01-28T05:30Z,245,254,678,687
2023-01-28T06:00Z,250,258,710,677
2023-01-28T06:30Z,256,254,771,761
2023-01-28T07:00Z,269,261,903,898
2023-01-28T07:30Z,270,266,959,942
2023-01-28T08:00Z,270,269,976,944
2023-01-28T08:30Z,273,269,980,954
2023-01-28T09:00Z,262,267,902,928
2023-01-28T09:30Z,262,271,696,731
2023-01-28T10:00Z,255,265,779,794
2023-01-28T10:30Z,254,264,695,712
2023-01-28T11:00Z,255,257,584,602
2023-01-28T11:30Z,256,252,543,520
2023-01-28T12:00Z,256,260,566,546
2023-01-28T12:30Z,254,262,533,544
2023-01-28T13:00Z,255,263,581,573
2023-01-28T13:30Z,255,261,624,631
2023-01-28T14:00Z,263,258,833,800
2023-01-28T14:30Z,266,256,823,827
2023-01-28T15:00Z,268,263,904,926
2023-01-28T15:30Z,270,272,952,977
2023-01-28T16:00Z,266,271,1013,1007
2023-01-28T16:30Z,259,271,974,998
2023-01-28T17:00Z,251,274,810,804
2023-01-28T17:30Z,250,264,773,744
2023-01-28T18:00Z,252,257,684,691
2023-01-28T18:30Z,252,254,556,573
2023-01-28T19:00Z,262,256,531,506
2023-01-28T19:30Z,256,254,390,390
2023-01-28T20:00Z,265,264,299,312
2023-01-28T20:30Z,259,256,238,250
2023-01-28T21:00Z,256,255,226,236
2023-01-28T21:30Z,242,246,218,216
2023-01-28T22:00Z,223,250,188,183
2023-01-28T22:30Z,210,236,164,166
2023-01-28T23:00Z,176,219,131,138
2023-01-28T23:30Z,164,203,117,119
