time_slot,strategy,carbon_actual,carbon_forecast,requests_actual,requests_forecast
2023-12-02T00:00Z,MediumPower,299,296,102,100
2023-12-02T00:30Z,MediumPower,299,300,152,147
2023-12-02T01:00Z,MediumPower,298,298,211,207
2023-12-02T01:30Z,MediumPower,298,298,261,250
2023-12-02T02:00Z,MediumPower,298,295,328,325
2023-12-02T02:30Z,MediumPower,299,302,315,320
2023-12-02T03:00Z,MediumPower,300,296,368,366
2023-12-02T03:30Z,MediumPower,304,298,446,460
2023-12-02T04:00Z,MediumPower,300,299,464,457
2023-12-02T04:30Z,MediumPower,306,306,522,537
2023-12-02T05:00Z,MediumPower,306,302,615,641
2023-12-02T05:30Z,MediumPower,309,310,716,693
2023-12-02T06:00Z,MediumPower,307,309,712,722
2023-12-02T06:30Z,MediumPower,302,312,913,890
2023-12-02T07:00Z,MediumPower,299,308,883,877
2023-12-02T07:30Z,MediumPower,292,305,953,925
2023-12-02T08:00Z,MediumPower,294,278,1056,1021
2023-12-02T08:30Z,MediumPower,282,294,902,862
2023-12-02T09:00Z,MediumPower,277,298,937,909
2023-12-02T09:30Z,MediumPower,273,286,877,868
2023-12-02T10:00Z,MediumPower,272,283,782,771
2023-12-02T10:30Z,MediumPower,271,278,687,722
2023-12-02T11:00Z,HighPower,271,277,676,649
2023-12-02T11:30Z,HighPower,271,277,544,527
2023-12-02T12:00Z,HighPower,270,273,483,495
2023-12-02T12:30Z,HighPower,266,276,514,531
2023-12-02T13:00Z,MediumPower,267,278,616,604
2023-12-02T13:30Z,HighPower,268,274,667,680
2023-12-02T14:00Z,HighPower,272,276,723,735
2023-12-02T14:30Z,HighPower,272,277,707,744
2023-12-02T15:00Z,HighPower,276,275,890,859
2023-12-02T15:30Z,MediumPower,272,282,971,965
2023-12-02T16:00Z,MediumPower,271,284,965,975
2023-12-02T16:30Z,MediumPower,266,280,818,849
2023-12-02T17:00Z,MediumPower,266,277,905,894
2023-12-02T17:30Z,HighPower,266,272,640,672
2023-12-02T18:00Z,HighPower,265,271,708,691
2023-12-02T18:30Z,HighPower,268,274,499,514
2023-12-02T19:00Z,HighPower,270,277,430,434
2023-12-02T19:30Z,MediumPower,273,279,395,402
2023-12-02T20:00Z,MediumPower,271,281,314,319
2023-12-02T20:30Z,HighPower,279,278,284,278
2023-12-02T21:00Z,HighPower,272,273,261,254
2023-12-02T21:30Z,HighPower,260,274,229,228
2023-12-02T22:00Z,HighPower,254,274,184,193
2023-12-02T22:30Z,HighPower,227,256,154,162
2023-12-02T23:00Z,HighPower,220,256,140,146
2023-12-02T23:30Z,HighPower,219,249,130,129
